"brand";"model";"price";"camq";"proq";"batq";"romq";"disq";"ramq";"cat";"cam";"ram";"pro";"bat";"dis";"rom";"os";"col";"rat";"pur1";"pur2"
"One Plus";"7 pro(6GB,128GB)";48999.0;"1000";"1000";"1000";"0100";"1000";"0100";"01111";"48+8+16,16";"6";"Qualcomm Snapdragon 855";4000;6.67;"128";"Android 9.0 Pie";"Mirror Grey,Almond,Nebula blue";9.0;"https://amzn.to/2LABgOX";"NIL"
"One Plus";"7 pro(8GB,256GB)";52999.0;"1000";"1000";"1000";"1000";"1000";"1000";"01111";"48+8+16,16";"8";"Qualcomm Snapdragon 855";4000;6.67;"256";"Android 9.0 Pie";"Mirror Grey,Almond,Nebula blue";9.2;"https://amzn.to/2GmFwxD";"NIL"
"One Plus";"7 pro (12GB,256GB)";57999.0;"1000";"1000";"1000";"1000";"1000";"1000";"01111";"48+8+16,16";"12";"Qualcomm Snapdragon 855";4000;6.67;"256";"Android 9.0 Pie";"Mirror Grey,Almond,Nebula blue";9.4;"https://amzn.to/2XSTphO";"NIL"
"One Plus";"7 (6GB,128GB)";32999.0;"0100";"1000";"1000";"0100";"1000";"0100";"00111";"48+5,16";"6";"Qualcomm Snapdragon 855";3700;6.41;"128";"Android 9.0 Pie,Oxygen OS";"Mirror Grey,Mirror blue,Red";8.2;"https://amzn.to/2LZSVz0";"NIL"
"One Plus";"7 (8GB,256GB)";37999.0;"0100";"1000";"1000";"1000";"1000";"1000";"00111";"48+5,16";"8";"Qualcomm Snapdragon 855";3700;6.41;"256";"Android 9.0 Pie,Oxygen OS";"Mirror Grey,Mirror blue,Red";8.4;"https://amzn.to/2GlHFcM";"NIL"
"One Plus";"6T (8GB,256GB)";37999.0;"1000";"1000";"1000";"1000";"1000";"1000";"01111";"16+20,16";"8";"Qualcomm Snapdragon 845";3700;6.41;"256";"Android 9.0 Pie,Oxygen OS";"Midnight black,Mirror black";8.6;"https://amzn.to/2M4Ku5u";"NIL"
"One Plus";"6T (6GB,128GB)";37999.0;"1000";"1000";"1000";"0100";"1000";"0100";"01111";"16+20,16";"8";"Qualcomm Snapdragon 845";3700;6.41;"256";"Android 9.0 Pie,Oxygen OS";"Midnight black,Mirror black";8.4;"https://amzn.to/2M4Ku5u";"NIL"
"Xiaomi";"Redmi Note 5(3GB,32GB)";9399.0;"0010";"0010";"0100";"0001";"0100";"0001";"10100";"12,5";"3";"Qualcomm Snapdragon 625";4000;5.99;"32";"Android 7.0,MIUI";"Black,Gold,Lake Blue,Rose Gold";7.4;"https://amzn.to/2Swx2J1";"https://bit.ly/2Y2MgGF"
"Xiaomi";"Redmi Note 5(4GB,64GB)";10149.0;"0010";"0010";"0100";"0010";"0100";"0010";"10100";"12,5";"4";"Qualcomm Snapdragon 625";4000;5.99;"64";"Android 7.0,MIUI";"Black,Gold,Lake Blue,Rose Gold";7.6;"https://amzn.to/2Swx2J1";"https://bit.ly/2Y2MgGF"
"Xiaomi";"Redmi Note 5 Pro(4GB,64GB)";11999.0;"0010";"0100";"0100";"0010";"0100";"0010";"10100";"12+5,20";"4";"Qualcomm Snapdragon 636";4000;5.99;"64";"Android 7.1.1,MIUI";"Black,Gold,Lake Blue,Rose Gold";7.6;"https://amzn.to/2JGkAng";"https://bit.ly/2SCYRQ5"
